t,x0,x1
0,0,1
0.0025,0.0025,0.999997
0.005,0.00499998,0.999988
0.0075,0.00749994,0.999972
0.01,0.00999984,0.99995
0.0125,0.0124997,0.999922
0.015,0.0149995,0.999888
0.0175,0.0174991,0.999847
0.02,0.0199987,0.9998
0.0225,0.0224981,0.999747
0.025,0.0249974,0.999688
0.0275,0.0274966,0.999622
0.03,0.0299955,0.99955
0.0325,0.0324943,0.999472
0.035,0.0349929,0.999388
0.0375,0.0374913,0.999297
0.04,0.0399894,0.9992
0.0425,0.0424873,0.999097
0.045,0.0449849,0.998988
0.0475,0.0474822,0.998872
0.05,0.0499792,0.99875
0.0525,0.0524759,0.998622
0.055,0.0549723,0.998488
0.0575,0.0574684,0.998347
0.06,0.0599641,0.998201
0.0625,0.0624594,0.998048
0.065,0.0649543,0.997888
0.0675,0.0674488,0.997723
0.07,0.0699429,0.997551
0.0725,0.0724366,0.997373
0.075,0.0749298,0.997189
0.0775,0.0774225,0.996998
0.08,0.0799148,0.996802
0.0825,0.0824065,0.996599
0.085,0.0848978,0.99639
0.0875,0.0873885,0.996174
0.09,0.0898786,0.995953
0.0925,0.0923682,0.995725
0.095,0.0948573,0.995491
0.0975,0.0973457,0.995251
0.1,0.0998335,0.995004
0.1025,0.102321,0.994751
0.105,0.104807,0.994493
0.1075,0.107293,0.994227
0.11,0.109778,0.993956
0.1125,0.112263,0.993679
0.115,0.114747,0.993395
0.1175,0.11723,0.993105
0.12,0.119712,0.992809
0.1225,0.122194,0.992506
0.125,0.124675,0.992198
0.1275,0.127155,0.991883
0.13,0.129634,0.991562
0.1325,0.132113,0.991235
0.135,0.13459,0.990901
0.1375,0.137067,0.990562
0.14,0.139543,0.990216
0.1425,0.142018,0.989864
0.145,0.144493,0.989506
0.1475,0.146966,0.989142
0.15,0.149438,0.988771
0.1525,0.15191,0.988394
0.155,0.15438,0.988012
0.1575,0.15685,0.987622
0.16,0.159318,0.987227
0.1625,0.161786,0.986826
0.165,0.164253,0.986418
0.1675,0.166718,0.986005
0.17,0.169183,0.985585
0.1725,0.171646,0.985159
0.175,0.174108,0.984727
0.1775,0.17657,0.984288
0.18,0.17903,0.983844
0.1825,0.181489,0.983393
0.185,0.183947,0.982936
0.1875,0.186403,0.982473
0.19,0.188859,0.982004
0.1925,0.191314,0.981529
0.195,0.193767,0.981048
0.1975,0.196219,0.98056
0.2,0.19867,0.980067
0.2025,0.201119,0.979567
0.205,0.203567,0.979061
0.2075,0.206014,0.978549
0.21,0.20846,0.978031
0.2125,0.210905,0.977507
0.215,0.213348,0.976976
0.2175,0.215789,0.97644
0.22,0.21823,0.975897
0.2225,0.220669,0.975349
0.225,0.223107,0.974794
0.2275,0.225543,0.974233
0.23,0.227978,0.973666
0.2325,0.230411,0.973093
0.235,0.232843,0.972514
0.2375,0.235274,0.971929
0.24,0.237703,0.971338
0.2425,0.24013,0.970741
0.245,0.242557,0.970137
0.2475,0.244981,0.969528
0.25,0.247404,0.968912
0.2525,0.249826,0.968291
0.255,0.252246,0.967663
0.2575,0.254664,0.96703
0.26,0.257081,0.96639
0.2625,0.259496,0.965744
0.265,0.26191,0.965092
0.2675,0.264321,0.964435
0.27,0.266732,0.963771
0.2725,0.26914,0.963101
0.275,0.271547,0.962425
0.2775,0.273952,0.961743
0.28,0.276356,0.961055
0.2825,0.278758,0.960361
0.285,0.281158,0.959662
0.2875,0.283556,0.958956
0.29,0.285953,0.958244
0.2925,0.288347,0.957526
0.295,0.29074,0.956802
0.2975,0.293131,0.956072
0.3,0.295521,0.955336
0.3025,0.297908,0.954595
0.305,0.300293,0.953847
0.3075,0.302677,0.953093
0.31,0.305059,0.952333
0.3125,0.307439,0.951568
0.315,0.309817,0.950796
0.3175,0.312193,0.950019
0.32,0.314567,0.949235
0.3225,0.316939,0.948446
0.325,0.319309,0.947651
0.3275,0.321677,0.946849
0.33,0.324043,0.946042
0.3325,0.326407,0.945229
0.335,0.328769,0.94441
0.3375,0.331129,0.943585
0.34,0.333487,0.942755
0.3425,0.335843,0.941918
0.345,0.338197,0.941075
0.3475,0.340549,0.940227
0.35,0.342898,0.939373
0.3525,0.345246,0.938512
0.355,0.347591,0.937646
0.3575,0.349934,0.936774
0.36,0.352275,0.935897
0.3625,0.354613,0.935013
0.365,0.35695,0.934124
0.3675,0.359284,0.933228
0.37,0.361616,0.932327
0.3725,0.363945,0.93142
0.375,0.366273,0.930507
0.3775,0.368598,0.929589
0.38,0.370921,0.928664
0.3825,0.373241,0.927734
0.385,0.37556,0.926798
0.3875,0.377875,0.925856
0.39,0.380189,0.924909
0.3925,0.3825,0.923956
0.395,0.384809,0.922996
0.3975,0.387115,0.922032
0.4,0.389419,0.921061
0.4025,0.39172,0.920084
0.405,0.394019,0.919102
0.4075,0.396316,0.918114
0.41,0.39861,0.917121
0.4125,0.400901,0.916121
0.415,0.40319,0.915116
0.4175,0.405477,0.914105
0.42,0.407761,0.913089
0.4225,0.410042,0.912067
0.425,0.412321,0.911039
0.4275,0.414597,0.910005
0.43,0.416871,0.908966
0.4325,0.419142,0.907921
0.435,0.421411,0.90687
0.4375,0.423677,0.905813
0.44,0.42594,0.904751
0.4425,0.4282,0.903684
0.445,0.430458,0.90261
0.4475,0.432713,0.901532
0.45,0.434966,0.900447
0.4525,0.437216,0.899357
0.455,0.439463,0.898261
0.4575,0.441707,0.897159
0.46,0.443949,0.896052
0.4625,0.446187,0.89494
0.465,0.448423,0.893821
0.4675,0.450656,0.892697
0.47,0.452887,0.891568
0.4725,0.455114,0.890433
0.475,0.457339,0.889292
0.4775,0.459561,0.888146
0.48,0.46178,0.886995
0.4825,0.463996,0.885837
0.485,0.466209,0.884675
0.4875,0.468419,0.883506
0.49,0.470626,0.882333
0.4925,0.472831,0.881153
